trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
printed gown,140,260,210,140,170,210,170,260,210,260,260,,,,women.womens_clothes
mixed media dress,210,210,260,140,140,110,210,210,210,210,260,,,Dresses - Embellishment,women.womens_clothes.dresses
mens comfort jeans,140,140,140,140,90,110,90,110,170,170,260,,,,men.mens_clothes.mens_jeans
oversized clutches,320,260,170,320,170,210,210,170,210,260,260,,,,women.handbags.clutches
cotton boxer brief,90,140,110,170,170,140,140,210,210,170,260,,,,men.mens_clothes.mens_underwear_and_socks.mens_boxers
bbmas,210,210,1900,33100,880,480,480,260,260,260,260,,,Events - Red Carpet Hashtags,
mens striped polo,140,140,260,320,390,260,210,210,390,210,260,,,,men.mens_clothes.mens_shirts.mens_polo_shirts
crepe coat,260,390,320,320,210,170,260,320,480,320,260,,,Outerwear - Coats: Material,women.womens_clothes.womens_outerwear.coats
open toe pump,390,480,590,590,390,480,480,390,390,390,260,,,,women.womens_shoes.pumps
mesh gown,320,210,210,210,170,210,170,260,320,320,260,,,,women.womens_clothes.dresses
sateen jeans,140,110,170,110,90,110,170,210,170,260,260,,,Denim and Jeans - Wash & Embellishment,women.womens_clothes.jeans
slit pencil skirt,210,170,210,210,210,260,260,210,320,260,260,,,,women.womens_clothes.skirts
pleated gown,320,320,390,320,260,260,260,320,260,320,260,,,,women.womens_clothes.dresses
mens acrylic sweater,90,50,70,20,50,10,20,50,90,140,260,,,,men.mens_clothes.mens_sweaters
circle crossbody bag,110,140,140,90,140,140,90,170,140,210,260,,,,women.handbags.shoulder_bags
ladder lace,210,210,260,260,210,260,260,210,260,260,260,,,,women.womens_clothes
color blocking dress,170,210,210,210,110,210,140,170,170,320,260,,,,women.womens_clothes.dresses
solid dress shirt,90,140,170,170,90,90,170,110,210,210,260,,,Mens - Dress Shirts: Classification,men.mens_clothes.mens_shirts.mens_dress_shirts
super skinny jean,110,110,140,110,110,140,170,210,170,260,260,,,,women.womens_clothes.jeans.skinny_jeans
levis womens jacket,110,170,110,140,90,140,90,140,260,260,260,,,,women.womens_clothes.jackets
tuxedo gown,260,260,260,210,210,210,170,260,210,390,260,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
geometric sunglasses,210,390,480,390,480,390,390,210,320,210,260,,,,women.womens_clothes.womens_accessories.womens_eyewear.sunglasses
ruched gown,140,260,140,110,110,140,110,140,260,170,260,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
snakeskin print,210,320,320,320,260,210,320,390,480,320,260,,,Trends - Prints & Color,women.womens_clothes
linen hat,260,590,720,720,720,720,590,390,320,260,260,,,,men.mens_clothes.mens_accessories.mens_hats
goldtone watch,90,50,140,170,140,90,110,170,140,210,260,,,Accessories - Watches: Material & Color,women.womens_clothes.jewelry.watches
faux leather t shirt,210,210,260,210,170,90,140,210,210,210,260,,,,women.womens_clothes.womens_tops.tees_and_tshirts
embellished bolero,140,170,210,210,210,170,170,170,140,320,260,,,,women.womens_clothes.jackets
slip gown,140,170,170,90,140,140,140,170,170,210,260,,,,women.womens_clothes.dresses
plain shorts,210,210,260,320,320,390,320,260,210,260,260,,,Shorts - Classification,women.womens_clothes.shorts
cut out flats,590,1000,1000,880,720,590,480,390,320,320,260,,,Shoes - Flats: Embellishment,women.womens_shoes.flats
printed denim,320,390,390,390,390,260,320,260,390,260,260,,,,women.womens_clothes
buckle sneakers,110,170,140,260,140,90,140,140,170,210,260,,,,women.womens_shoes.womens_sneakers
satchel shoulder bags,70,50,40,70,50,140,170,70,30,50,260,,,,women.handbags.satchels
mesh sandals,390,720,880,1000,880,720,590,390,260,260,260,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
furry beanie,90,50,30,40,30,30,40,90,90,140,260,,,,
zip booties,50,170,30,30,30,70,70,140,260,320,260,,,Shoes - Booties: Embellishment,women.womens_shoes.boots
bandage gown,260,260,260,210,140,170,210,140,110,320,260,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses.evening_dresses
print pumps,480,590,590,390,260,260,260,170,320,210,260,,,Shoes - Pumps: Embellishment,women.womens_shoes.pumps
mens moto boots,70,90,50,40,70,40,50,140,210,320,260,,,,men.mens_shoes.mens_boots
sheath gown,260,390,320,260,260,260,210,260,260,320,260,,,,women.womens_clothes.dresses
column gown,260,390,260,210,140,170,320,210,210,140,260,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses.evening_dresses
patent shoulder bag,170,140,140,210,110,110,480,320,210,260,260,,,,women.handbags.shoulder_bags
cap toe sneakers,110,140,110,140,90,110,140,170,210,260,260,,,Shoes - Sneakers: Embellishment,men.mens_shoes.mens_sneakers
sporty leggings,140,170,170,170,110,110,140,210,210,260,260,,,,women.womens_clothes.womens_pants.leggings
python tote,260,260,210,140,210,260,260,260,320,320,260,,,,women.handbags.tote_bags
mens ribbon belt,140,260,260,320,320,390,210,110,90,170,260,,,,men.mens_clothes.mens_accessories.mens_belts
pvc pumps,390,480,480,480,320,210,170,320,260,170,260,,,Shoes - Pumps: Materials,women.womens_shoes.pumps
womens skinny jean,90,110,70,50,110,90,140,170,320,260,260,,,,women.womens_clothes.jeans.skinny_jeans
tweed top,170,170,140,170,110,110,210,210,260,260,260,,,,women.womens_clothes.womens_tops
skin imperfections,320,320,320,260,320,260,260,260,320,260,260,,,Beauty - Skin Problems,women.womens_beauty.skin_care
flap shoulder bag,210,260,110,170,170,170,320,170,210,260,260,,,,women.handbags.shoulder_bags
womens slim pants,210,140,210,110,110,110,170,260,260,320,260,,,,women.womens_clothes.womens_pants
boxy coat,110,110,70,50,70,70,90,140,260,210,260,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
brocade gown,260,260,170,210,140,140,170,210,320,320,260,,,Dresses - Formal: Material,women.womens_clothes.dresses.evening_dresses
butterfly shorts,260,260,320,320,320,320,260,210,210,170,260,,,,women.womens_clothes.shorts
trouser shorts,590,720,1000,880,1300,1300,880,590,480,260,260,,,Shorts - Silhouette,women.womens_clothes.shorts
olive green lace dress,90,170,110,110,70,210,170,260,260,320,260,,,,women.womens_clothes.dresses
scalloped hem,260,390,320,390,320,390,320,320,320,320,260,,,,
flared midi dress,210,320,210,320,320,210,210,260,260,320,260,,,,
foldover booties,70,40,20,20,20,30,110,170,320,260,320,,,,women.womens_shoes.boots
zip sneakers,260,320,390,320,320,320,260,210,260,260,320,,,Shoes - Sneakers: Embellishment,women.womens_shoes.womens_sneakers
patchwork shoulder bag,110,210,210,140,210,210,260,210,210,260,320,,,,women.handbags.shoulder_bags
cologne body spray,110,110,110,170,140,140,140,210,260,210,320,,,,women.womens_beauty.bath_body
crocodile booties,320,210,140,210,110,170,110,170,320,590,320,,,Shoes - Booties: Materials,women
knit nail art,40,20,20,10,10,10,20,40,50,480,320,,,,
petite denim,260,260,260,390,210,170,320,320,260,210,320,,,,women.womens_clothes.petites
tylie,320,390,320,320,260,320,320,320,320,260,320,,,,women
north south tote,320,320,390,260,210,260,260,210,260,320,320,,,,women.handbags.tote_bags
laser cut tote,210,390,720,590,590,480,390,320,320,260,320,,,,women.handbags.tote_bags
subtle contouring,0,0,0,0,140,140,170,170,260,210,320,,,Beauty - Contouring Techniques,women.womens_clothes.womens_intimates
deep v gown,320,390,210,210,170,110,260,210,260,260,320,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
womens straight jeans,260,480,390,320,210,260,480,480,390,480,320,,,,women.womens_clothes.jeans.straight_leg_jeans
smoking coat,140,140,140,170,110,140,140,170,210,260,320,,,,women.womens_clothes.womens_outerwear.coats
pleated full skirt,170,210,170,170,170,170,210,210,210,260,320,,,,women.womens_clothes.skirts
cheetah skirt,480,480,320,390,320,320,480,720,1900,480,320,,,Skirts - Prints and Patterns,women.womens_clothes.skirts
styling balm,140,210,260,260,170,210,210,320,260,210,320,,,,women.womens_beauty.hair_care
plus size fit and flare,260,390,480,320,320,260,320,260,320,260,320,,,Dresses - Plus Size,women.womens_clothes.plus_sizes
pashli bag,320,260,320,390,260,260,210,210,260,320,320,,,,women.handbags.satchels
taffeta jacket,260,320,210,390,260,320,260,260,320,260,320,,,,women.womens_clothes.jackets
beauty drinks,320,260,260,320,260,320,320,320,320,320,320,,,,women.womens_beauty
draped gown,260,210,260,170,210,170,210,320,170,260,320,,,,women.womens_clothes.dresses.evening_dresses
patent tote,320,260,260,260,390,210,320,320,260,210,320,,,,women.handbags.tote_bags
jacquard gown,210,170,170,170,140,210,170,210,210,320,320,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
fringe flats,110,170,390,390,260,260,260,390,320,210,320,,,Shoes - Flats: Embellishment,women.womens_shoes.flats
face luminizer,320,390,320,260,260,260,210,170,320,260,320,,,,women.womens_beauty.makeup.face_makeup.face_luminizer
mens rose gold bracelets,260,260,210,260,170,140,170,170,170,170,320,,,,men.mens_clothes.mens_watches_and_jewelry
laser cut clutch,390,480,390,390,320,720,390,390,210,320,320,,,,women.handbags.clutches
tech travel bag,70,70,90,140,110,170,170,260,210,210,320,,,,women.handbags
mens derby,170,170,320,170,110,90,170,210,320,170,320,,,Mens - Dress Shoes,men.mens_shoes.mens_lace_up_shoes
guilloche watch,320,210,260,320,260,390,390,210,390,320,320,,,,women.womens_clothes.jewelry.watches
perforated bag,320,720,720,590,720,590,480,390,390,260,320,,,,women.handbags
mens low top sneakers,110,260,210,320,320,210,320,210,170,260,320,,,Mens - Sneakers,men.mens_shoes.mens_sneakers
brown dial watch,210,210,210,140,210,170,260,260,720,320,320,,,Accessories - Watches: Material & Color,men.mens_clothes.mens_watches_and_jewelry.mens_watches
jacquard suit,170,170,210,140,110,110,110,140,170,260,320,,,,women.womens_clothes.womens_suits
boyfriend top,320,390,390,320,320,320,320,320,390,320,320,,,,women.womens_clothes.womens_tops
dark rinse jeans,170,210,170,170,170,210,260,260,320,260,320,,,,women.womens_clothes.jeans
paneled leggings,140,170,140,110,110,110,140,140,260,320,320,,,Pants - Leggings,women.womens_clothes.womens_pants.leggings
mens rectangle sunglasses,260,390,480,320,320,320,260,140,320,390,320,,,,men.mens_clothes.mens_accessories.mens_eyewear.mens_sunglasses
modal top,320,390,320,320,260,260,320,260,390,320,320,,,Tops - Material: Knit,women.womens_clothes.womens_tops
performance tank,260,390,320,320,390,590,390,320,210,320,320,,,Activewear - Classification,women.womens_clothes
cherry red dress,260,320,210,320,260,260,210,260,320,320,320,,,Dresses - Color,women.womens_clothes.dresses
buckle flats,260,320,260,390,210,260,320,390,260,320,320,,,,women.womens_shoes.flats
mens plaque belt,110,110,140,110,140,170,260,170,140,260,320,,,,men.mens_clothes.mens_accessories.mens_belts
leopardprint,320,260,320,260,210,260,320,260,320,320,320,,,,women.womens_clothes
wrap gown,320,320,260,210,260,260,260,390,390,320,320,,,Dresses - Formal: Silhouette,women.womens_clothes
silk white blouse,320,260,320,320,260,210,260,320,320,320,320,,,,women.womens_clothes.womens_tops
chain sandals,480,1000,1600,1900,1300,1300,720,480,390,320,320,,,Shoes - Sandals: Embellishment,women.womens_shoes.sandals
ombre pumps,90,110,70,170,110,170,170,260,390,390,320,,,,women.womens_shoes.pumps
bronzer cream,320,390,480,480,390,390,320,320,320,320,320,,,Beauty - Contouring Products,women.womens_beauty.skin_care.sun_care
mens cashmere sport coat,90,90,50,110,110,40,40,140,390,260,320,,,,men.mens_clothes.mens_blazers_and_sport_coats
flared top,320,390,480,480,390,480,320,480,390,480,320,,,,women.womens_clothes.womens_tops
cut out pumps,390,480,590,590,390,480,480,390,320,260,320,,,,women.womens_shoes.pumps
chevron coat,210,110,70,40,40,30,90,110,210,320,320,,,Outerwear - Coats: Embellishment,women.womens_clothes.womens_outerwear.coats
womens slim jeans,260,260,140,210,140,170,260,320,320,260,320,,,,women.womens_clothes.jeans
scoop neck tank,320,320,480,320,390,320,320,260,320,260,320,,,,women.womens_clothes.womens_tops.tank_tops
classic fit dress shirt,140,210,210,140,170,110,170,170,210,210,320,,,,men.mens_clothes.mens_shirts.mens_dress_shirts
point collar dress shirt,110,90,110,90,140,260,170,210,210,320,320,,,,men.mens_clothes.mens_shirts.mens_dress_shirts
chalk stripe,320,320,260,260,260,210,320,320,480,320,320,,,,living.rugs.rugs_indoor
patent sandals,260,390,590,590,590,480,320,260,260,390,320,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
glossy eyelids,170,210,210,170,140,170,170,260,210,260,320,,,,women.womens_beauty.makeup
mens cotton coat,90,140,70,90,40,110,110,140,170,210,320,,,,men.mens_clothes.mens_blazers_and_sport_coats
mens mid tops,210,480,320,260,140,170,170,210,320,320,320,,,,men.mens_clothes
acetate watch,210,260,320,170,140,170,110,210,210,260,320,,,,women.womens_clothes.jewelry.watches
beautyfix box,20,90,70,70,70,90,170,70,210,320,320,,,Trends - Gifting: Beauty Sets,
tuxedo cape,480,320,210,210,110,110,140,210,260,260,320,,,Outerwear - Coats: Silhouette,
colorblock top,590,590,390,320,390,480,390,320,320,390,320,,,Tops - Prints,women.womens_clothes.womens_tops
organza gown,320,320,320,260,210,260,260,260,260,390,320,,,Dresses - Formal: Material,women.womens_clothes.dresses.evening_dresses
embellished purse,90,210,140,140,90,70,110,110,210,260,320,,,,women.handbags
chambray romper,720,1300,1900,2400,2900,2400,1600,720,480,260,320,,,Romper and Jumpsuits - Material,women.womens_clothes.shorts
silk midi skirt,260,320,390,320,260,320,320,260,320,320,320,,,,women.womens_clothes.skirts.mid_length_skirts
long underwear leggings,210,40,10,10,20,20,90,40,170,390,320,,,,
bold lip,260,260,210,320,210,320,320,320,260,320,320,,,,women.womens_beauty.makeup.lip_products
fringe satchel,210,260,170,260,320,260,320,320,260,320,320,,,,women.handbags.satchels
machine knit,320,260,210,260,210,260,260,260,480,320,320,,,,women.womens_clothes
charcoal nails,90,90,90,70,90,90,110,170,210,260,320,,,,women.womens_clothes
ankle tie sandals,720,1300,2900,2900,2900,2400,1300,590,480,390,320,,,Shoes - Sandals: Embellishment,women.womens_shoes.sandals
mens crew neck t shirt,110,110,320,210,210,260,260,210,390,260,320,,,,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
rubber flats,210,390,480,590,590,390,390,320,320,210,320,,,Shoes - Flats: Materials,women.womens_shoes.flats
rose gold tone bracelet,170,50,110,70,70,140,140,170,110,170,320,,,Jewelry - Bracelet: Material,women.womens_clothes.jewelry
high waisted boy shorts,210,260,260,320,390,320,320,260,390,210,320,,,Intimates - Panties: Silhouette,women.womens_clothes.shorts
mmfw,110,70,90,70,390,140,140,170,880,480,320,,,,
crew fleece,390,320,170,210,140,210,260,260,390,390,320,,,,women.womens_clothes.sweaters.crewneck_sweaters
midi wrap skirt,260,390,480,390,390,390,320,390,390,320,320,,,,women.womens_clothes.skirts.mid_length_skirts
international film festivals,390,480,480,480,320,480,480,590,480,480,320,,,,
zipup hoodie,210,260,210,140,90,110,210,260,320,320,320,,,,
distressed booties,70,70,50,40,70,70,110,320,390,480,390,,,,women.womens_shoes.boots
apron skirt,480,480,390,320,390,390,390,480,720,480,390,,,,women.womens_clothes.skirts
athletic flats,590,880,1000,880,590,390,590,720,480,390,390,,,,women.womens_shoes
gold tone ring,210,260,170,260,210,390,390,260,260,390,390,,,Jewelry - Rings: Material & Color,women.womens_clothes.jewelry.rings
jersey midi skirt,390,590,720,880,720,720,590,480,480,480,390,,,,women.womens_clothes.skirts.mid_length_skirts
mens levis pants,170,140,140,210,140,210,320,170,320,590,390,,,,men.mens_clothes.mens_pants
pull on leggings,210,260,260,210,170,210,260,390,880,590,390,,,,women.womens_clothes.womens_pants.leggings
waxed pants,260,210,170,210,170,170,210,260,320,390,390,,,Pants - Material,women.womens_clothes
mens silk jacket,210,320,260,320,260,390,210,260,390,320,390,,,,men.mens_clothes
convertible satchel,390,390,390,260,210,320,390,320,320,480,390,,,,women.handbags.satchels
shirred top,480,720,720,720,720,720,720,590,720,480,390,,,Tops - Embellishment,women.womens_clothes.womens_tops
mens cashmere blazer,110,140,110,90,70,70,90,170,210,480,390,,,Mens - Jackets and Vests: Material,men.mens_clothes.mens_blazers_and_sport_coats
animal print jeans,590,590,480,390,320,320,480,590,720,590,390,,,,women.womens_clothes.jeans
wide leg shorts,480,1000,1600,2400,1900,1600,880,590,390,390,390,,,Shorts - Silhouette,women.womens_clothes.shorts
dot tie,390,320,590,390,320,260,390,320,390,390,390,,,Mens - Neckwear: Patterns,men.mens_clothes.mens_ties
mens chukka sneakers,90,170,260,110,210,260,170,170,320,480,390,,,Mens - Sneakers,men.mens_shoes.mens_sneakers
long boyfriend cardigan,390,260,390,390,260,210,320,260,480,390,390,,,,women.womens_clothes.sweaters.cardigan_sweaters
rubber sneakers,210,390,390,320,480,480,390,480,390,390,390,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
high low maxi skirt,480,880,1000,880,720,880,590,480,590,390,390,,,,women.womens_clothes.skirts.long_skirts
smocked top,720,880,880,1000,1000,1000,880,590,590,480,390,,,Tops - Embellishment,women.womens_clothes.womens_tops
leather bowler bag,170,210,140,110,140,140,170,170,260,260,390,,,,women.handbags
printed coat,170,210,210,170,210,170,210,320,480,390,390,,,,women.womens_clothes.womens_outerwear.coats
save up to,260,320,260,320,320,320,260,320,320,390,390,,,,living
chevron jacket,210,170,140,140,110,90,140,170,210,390,390,,,Outerwear - Jackets and Vests: Embellishment,women.womens_clothes.jackets
betawards,390,260,320,1000,22200,3600,720,590,1600,480,390,,,Events - Red Carpet Hashtags,
tofu chips,590,720,590,590,590,590,590,480,480,480,390,,,Health Snacks - Chips,living.kitchen
mirrored lenses,260,480,480,480,480,480,480,260,390,260,390,,,,women.womens_clothes.womens_accessories.womens_eyewear.sunglasses
twin cake,390,390,390,480,390,390,480,480,390,390,390,,,,living.bedding
petite underwear,210,210,210,260,260,210,210,170,210,320,390,,,Clothing - Petites,kids_and_baby.kids_and_baby_clothing
white bangles,320,390,390,480,390,590,320,320,390,260,390,,,,women.womens_clothes.jewelry.bracelets
mens buckle belt,110,260,1900,480,390,260,260,210,260,590,390,,,Mens - Belts: Classification,men.mens_clothes.mens_accessories.mens_belts
studded satchel,480,320,320,260,170,210,390,320,320,480,390,,,,women.handbags.satchels
single button blazer,390,390,480,480,260,260,320,260,320,480,390,,,"Outerwear - Jackets and Vests: Silhouette,Outerwear - Jackets and Vests: Blazers",women.womens_clothes.jackets.blazers
lip pack,140,170,260,210,140,170,140,210,320,320,390,,,,women.womens_beauty.makeup.lip_products
fit pants,320,1000,480,390,320,320,390,390,480,480,390,,,,women.womens_clothes.womens_pants
mens paisley socks,140,70,90,110,110,140,140,140,140,210,390,,,,men.mens_clothes.mens_underwear_and_socks.mens_socks
makeup value set,90,90,70,110,110,90,140,110,210,390,390,,,,women.womens_beauty.makeup
two button blazer,260,260,320,260,170,210,210,210,320,390,390,,,"Outerwear - Jackets and Vests: Silhouette,Outerwear - Jackets and Vests: Blazers",men.mens_clothes.mens_blazers_and_sport_coats
perfume rollerballs,140,140,170,140,110,110,170,90,110,320,390,,,,women.womens_beauty.perfume
square toe flats,480,590,480,320,320,320,320,390,480,390,390,,,,women.womens_shoes.flats
embellished booties,90,50,40,40,10,50,110,170,260,320,390,,,,women.womens_shoes.boots
backpack charm,210,170,140,170,170,260,480,260,260,320,390,,,Accessories - Bag Charms,women.handbags.backpacks
perforated boots,720,1000,1000,720,390,390,720,590,720,590,390,,,Shoes - Boots: Embellishment,women.womens_shoes.boots
phillip lim sneakers,390,320,260,210,170,210,210,260,390,320,390,,,,women.womens_shoes.womens_sneakers
emerald lace dress,390,480,390,390,320,320,480,480,390,480,390,,,,women.womens_clothes.dresses
sleeveless gown,260,390,320,1000,260,260,260,390,320,390,390,,,,women.womens_clothes
silver tone necklace,320,480,260,480,390,320,260,390,390,480,390,,,Jewelry - Necklace: Material,women.womens_clothes.jewelry.necklaces
mens link bracelets,170,110,170,90,140,90,70,170,90,260,390,,,Mens - Bracelets: Classification,men.mens_clothes.mens_watches_and_jewelry
aqua lace dress,590,880,720,880,590,590,480,390,390,320,390,,,,women.womens_clothes.dresses
instacute,140,170,110,90,90,90,170,210,170,260,390,,,,
studded leather boots,390,260,210,170,210,260,210,390,590,480,390,,,,women.womens_shoes.boots
cheetah bikini,880,1300,880,1000,880,590,480,320,260,320,390,,,,kids_and_baby.kids_and_baby_clothing.girls
mixed media top,170,140,110,140,110,110,140,210,390,320,390,,,Tops - Embellishment,women.womens_clothes.womens_tops
cut out sandals,720,1600,1900,1600,1600,1300,880,390,480,320,390,,,Shoes - Sandals: Embellishment,women.womens_shoes.sandals
stripe suit,320,480,390,480,390,480,390,480,880,590,390,,,Suiting - Classification & Material,men.mens_clothes.mens_suits
hydrating lipstick,320,320,260,260,210,210,170,210,260,320,390,,,,women.womens_beauty.makeup.lip_products.lipstick
mens camera bag,110,260,210,210,140,170,140,140,140,390,390,,,,men.mens_bags
mens cap toe dress shoes,210,260,260,170,170,210,140,260,260,320,390,,,,men.mens_shoes.mens_lace_up_shoes
cheetah top,390,390,260,210,210,210,390,480,1600,480,390,,,Tops - Prints,women.womens_clothes.womens_tops
levis mens shorts,260,720,880,1300,1300,1000,880,590,480,320,390,,,,men.mens_clothes.mens_shorts
sporty jacket,210,210,140,140,140,170,170,210,260,320,390,,,,women.womens_clothes.jackets
iridescent pumps,390,480,480,320,320,480,320,390,480,480,390,,,,women.womens_shoes.pumps
flare mini dress,170,260,390,320,260,320,320,260,320,260,390,,,,women.womens_clothes.dresses
saffiano handbag,390,260,260,320,320,260,210,320,480,260,390,,,Handbags - Embellishment,women.handbags
alligator watch,320,210,320,260,480,260,210,260,210,320,390,,,Accessories - Watches: Material & Color,women.womens_clothes.jewelry.watches
cheetah blouse,320,260,210,260,170,210,210,390,260,260,390,,,,women.womens_clothes.womens_tops
mtvema,260,170,140,140,170,140,480,27100,33100,880,390,,,Events - Red Carpet Hashtags,
woven flats,590,1000,1000,1300,880,880,480,480,480,390,390,,,Shoes - Flats: Embellishment,women.womens_shoes.flats
charcoal gray dress,320,590,390,390,480,590,590,590,390,320,390,,,Dresses - Color,women.womens_clothes.dresses
mens ipad case,170,90,50,110,260,90,110,40,90,210,390,,,Mens - Small Leather Goods: Classification,men.mens_clothes.mens_accessories.mens_tech_accessories
vert skateboarding,390,590,480,590,720,480,480,480,480,390,390,,,,men.mens_clothes.mens_accessories.mens_eyewear.mens_sunglasses
satin flats,880,720,590,720,720,590,480,720,590,590,390,,,Shoes - Flats: Materials,women.womens_shoes.flats
wax pants,320,260,210,170,260,210,170,260,320,390,390,,,,women.womens_clothes
perforated handbag,590,1000,1000,880,720,720,590,210,320,260,390,,,Handbags - Embellishment,women.handbags
leather double-wrap bracelet,140,110,210,110,110,170,90,90,110,110,390,,,,
young hollywood awards,880,880,880,720,880,1000,880,480,480,480,390,,,,
coach bag charms,90,110,170,110,170,140,210,260,210,320,480,,,,women.handbags
zipper coat,210,320,210,70,110,140,170,260,390,480,480,,,Outerwear - Coats: Silhouette,women.womens_clothes.womens_outerwear.coats
knit nail,70,20,30,10,10,10,10,30,170,590,480,,,,women.womens_clothes.sweaters
regal blue,590,480,480,480,480,480,480,590,480,590,480,,,,women.womens_clothes
square toe pumps,720,880,880,590,320,320,480,720,720,480,480,,,,women.womens_shoes.pumps
velvet sandals,110,110,170,170,140,260,260,320,260,390,480,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
mens bit loafers,210,320,260,260,390,170,390,260,320,390,480,,,,men.mens_shoes.mens_slip_ons_shoes
blossom dress,880,1600,1000,1300,880,880,720,590,720,590,480,,,Dresses - Color,women.womens_clothes.dresses
cooking makeup,110,210,210,320,320,880,590,390,390,320,480,,,Beauty - Contouring Techniques,women.womens_beauty
digital print dress,1000,1300,1000,1000,1000,1000,880,720,720,590,480,,,Dresses - Prints,women.womens_clothes.dresses
embroidered gown,480,480,480,390,480,390,390,390,480,480,480,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
crocodile tote,320,210,210,110,260,210,210,320,390,260,480,,,,women.handbags.tote_bags
hot pink lace dress,590,1000,880,720,590,720,590,590,480,590,480,,,,women.womens_clothes.dresses
classic fit pants,210,260,320,260,210,210,320,320,390,590,480,,,,men.mens_clothes.mens_pants
tech messenger bag,260,260,260,260,210,390,390,320,320,320,480,,,,men.mens_bags.mens_messenger_bags
chambray jumpsuit,880,1900,1900,2400,2900,2400,1900,1300,720,590,480,,,Romper and Jumpsuits - Material,women.womens_clothes.womens_pants
cotton trunks,170,210,210,260,210,170,260,170,320,320,480,,,Mens - Underwear,men.mens_clothes.mens_underwear_and_socks.mens_boxers
calf hair booties,210,50,20,90,20,50,110,260,480,480,480,,,,women.womens_shoes.boots
mini duffel bag,320,320,390,320,320,320,390,320,390,390,480,,,,women.handbags
plus size beaded dress,480,480,390,480,390,390,480,320,720,720,480,,,Dresses - Plus Size,women.womens_clothes.plus_sizes.plus_size_dresses
mens white gold necklaces,260,140,140,170,170,170,170,170,260,320,480,,,,women.womens_clothes.jewelry.necklaces
check dress shirt,260,210,320,210,260,210,320,260,590,390,480,,,Mens - Dress Shirts: Classification,men.mens_clothes.mens_shirts.mens_dress_shirts
crochet tank,1000,1600,2400,2400,2900,2900,1600,880,720,480,480,,,Tops - Embellishment,women.womens_clothes.womens_tops.tank_tops
mixed media coat,210,110,70,10,10,20,50,110,390,590,480,,,Outerwear - Coats: Embellishment,women.womens_clothes.womens_outerwear.coats
suede platform pumps,210,320,140,140,210,210,260,320,480,390,480,,,,women.womens_shoes.pumps
sport capri,720,880,1000,1000,1300,1000,880,480,720,390,480,,,Activewear - Classification,women.womens_clothes
navy boyfriend cardigan,320,390,480,480,480,390,480,590,590,590,480,,,,women.womens_clothes.sweaters.cardigan_sweaters
embellished pumps,260,260,390,260,320,170,260,390,320,390,480,,,,women.womens_shoes.pumps
mini ring,590,590,480,480,480,590,480,480,390,590,480,,,,women.womens_clothes.jewelry.rings
woven sneakers,210,480,480,590,390,590,590,390,390,320,480,,,Shoes - Sneakers: Embellishment,women.womens_shoes.womens_sneakers
hiphugger panties,390,320,320,320,320,320,320,260,260,260,480,,,,women.womens_clothes.womens_intimates.panties
crocodile clutch,480,590,480,480,480,390,480,320,480,480,480,,,,women.handbags.clutches
open back gown,590,720,720,480,320,480,390,590,480,720,480,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses.evening_dresses
relaxed pants,480,390,1000,480,590,480,480,590,590,590,480,,,,women.womens_clothes.womens_pants
momtobe,260,320,260,320,260,260,320,260,320,390,480,,,Maternity Hashtags,
short sleeve gown,320,320,260,260,260,210,210,260,390,390,480,,,Dresses - Formal: Silhouette,women.womens_clothes
printed sneakers,320,480,480,590,480,590,590,390,390,590,480,,,Shoes - Sneakers: Embellishment,women.womens_shoes.womens_sneakers
performance long sleeve,390,390,260,260,320,170,390,390,480,390,480,,,Activewear - Classification,women.womens_clothes.womens_tops.longsleeve_tops
mens wool sport coat,90,170,50,30,90,30,140,140,260,320,480,,,,men.mens_clothes.mens_blazers_and_sport_coats
chloe suzanna,320,260,210,170,210,170,170,210,480,390,480,,,,
jeweled pumps,320,480,320,260,260,260,260,260,320,390,480,,,,women.womens_shoes.pumps
logo leggings,210,320,170,260,210,110,210,260,260,320,480,,,,women.womens_clothes.womens_pants.leggings
high rise jean,260,390,260,320,210,210,480,390,390,480,480,,,,women.womens_clothes.jeans
patent booties,170,90,50,70,40,90,110,140,480,590,480,,,,women.womens_shoes.boots
chiffon romper,720,1000,1000,1000,1000,880,480,720,480,390,480,,,Romper and Jumpsuits - Material,women.womens_clothes.shorts
quilted flats,390,480,480,590,260,390,480,880,880,720,480,,,Shoes - Flats: Embellishment,women.womens_shoes.flats
