,trend,total_volume,social_buzz,retail_distribution
1454,skinny ankle jeans,17600.0,6,4170
1455,animal print skirt,16800.0,0,280
1456,mid heel,22300.0,48,4878
1457,glitter sandals,26900.0,7,1996
1458,bow flats,19900.0,7,3636
1459,baked makeup,9610.0,0,444
1460,black jean,13160.0,16,15295
1461,colored denim,19800.0,11,34109
1462,gel pedicure,22200.0,0,20
1463,handbag straps,19000.0,2,77779
1464,wiwt,24300.0,377,0
1465,marled cardigan,7300.0,2,390
1466,chenille bedding,20900.0,0,381
1467,strapless romper,36300.0,12,238
1468,high rise shorts,44300.0,16,1875
1469,faux fur booties,4160.0,0,109
1470,silk trousers,24500.0,9,9477
1471,photooftheday,15500.0,1337,0
1472,hummus chips,21800.0,0,10
1473,canvas diaper bag,15500.0,0,193
1474,box pleated skirt,15080.0,6,1001
1475,studded pumps,19300.0,20,1329
1476,skinny boyfriend jeans,17000.0,10,1028
1477,one shoulder jumpsuit,18600.0,0,153
1478,mens merino wool sweater,6220.0,0,2469
1479,face texture,16700.0,0,2746
1480,drawstring jacket,6440.0,1,1653
1481,lucite bracelet,15200.0,1,305
1482,contouring cream,14180.0,6,1496
1483,mens nylon jacket,10540.0,0,4817
1484,mens business card holder,6440.0,0,90
1485,picoftheday,23600.0,2009,0
1486,mens smartwatch,3730.0,0,47
1487,sunburst ring,6260.0,0,61
1488,equestrian pants,13700.0,0,53
1489,mother of pearl bracelet,19900.0,2,1
1490,boxy top,21800.0,10,3626
1491,cut out bikini,46500.0,3,1038
1492,pouchette,13580.0,9,87
1493,four finger ring,13100.0,0,103
1494,leather charm,16700.0,9,6206
1495,sleeveless jumpsuit,18100.0,21,2193
1496,lace cover up,39300.0,9,692
1497,faux leather satchel,9870.0,0,1150
1498,utility pants,19000.0,0,392
1499,panel dress,20900.0,43,11946
1500,loafer pumps,22200.0,1,305
1501,woven scarf,6970.0,23,1190
1502,off shoulder gown,15700.0,7,544
1503,sock booties,5240.0,0,42
1504,trapeze top,19100.0,8,548
1505,mens visor,22500.0,0,1814
1506,ancient medicine,18800.0,0,27
1507,flounce skirt,15800.0,15,400
1508,fur charm,8880.0,1,42
1509,shirting,17900.0,263,187211
1510,caged booties,16100.0,0,74
1511,levis denim,12980.0,34,521
1512,marsala dress,18700.0,0,39
1513,onyx cufflinks,12260.0,2,385
1514,rose gold tone ring,9290.0,0,894
1515,metallic oxfords,13660.0,9,188
1516,fitted jacket,16600.0,21,10210
1517,natural skin,14000.0,284,12984
1518,sweater shrug,17620.0,0,1108
1519,mens portfolio,6120.0,0,500
1520,suede pencil skirt,15320.0,2,118
1521,1 piece dress,18800.0,0,494
1522,boyfriend sweaters,10120.0,0,448
1523,lip wax,16400.0,2,528
1524,velvet pumps,7390.0,2,542
1525,acrylic clutch,15800.0,2,478
1526,comfort fit jeans,13640.0,0,3178
1527,velvet booties,5770.0,0,24
1528,lace thong panties,9870.0,0,479
1529,flat boot,11180.0,7,2300
1530,glossy lips,19100.0,50,533
1531,mens pleated pants,17480.0,0,1648
1532,novelty fabric,31300.0,1,83
1533,ponte skirt,16380.0,3,479
1534,tribal print dress,25600.0,2,361
1535,cuff bangle,16700.0,8,703
1536,low rise thong,13700.0,5,1345
1537,bikini bra,25100.0,5,1401
1538,windowpane suit,15500.0,13,184
1539,mens bomber,11580.0,0,4171
1540,satin lipstick,11320.0,26,335
1541,hair roots,20000.0,7,2775
1542,multi chain necklace,19000.0,1,3854
1543,rectangle sunglasses,30200.0,0,817
1544,natural eyeliner,19400.0,3,0
1545,knit nails,4520.0,0,374
1546,evening coat,16170.0,8,289
1547,mens analog watch,12320.0,0,9483
1548,feather bolero,16260.0,0,13
1549,beaded sandals,69900.0,18,2100
1550,face balm,12020.0,3,1047
1551,lace-front eyebrows,20600.0,0,0
1552,mens white gold bracelets,9890.0,0,785
1553,d'orsay heels,22300.0,3,1609
1554,cork sandals,63200.0,17,7028
1555,littleblackdress,22700.0,45,0
1556,chino jogger,14240.0,1,368
1557,bath soaks,9750.0,0,359
1558,stripe top,29900.0,129,19704
1559,petite skirt,19600.0,0,1503
1560,gift book,9320.0,1,122
1561,robe coat,9450.0,9,73
1562,bag straps,22900.0,3,77779
1563,oil blotting paper,22800.0,0,113
1564,cotton coat,13660.0,13,4593
1565,espadrille flats,47200.0,23,4365
1566,mini shoulder bag,24400.0,17,4251
1567,fitted coat,10910.0,2,3804
1568,calf hair,15280.0,39,1573
1569,skin lightening products,25100.0,1,330
1570,neoprene dress,24900.0,4,817
1571,caged sandals,41800.0,21,2246
1572,strappy pumps,17300.0,5,523
1573,raglan hoodie,14880.0,2,670
1574,mule sandals,31500.0,12,995
1575,ostrich skin,17900.0,1,25
1576,beige lace dress,28400.0,1,508
1577,patchwork skirt,27600.0,17,244
1578,angled contour brush,14480.0,1,347
1579,skinny leggings,16100.0,1,1756
1580,gogi berries,27900.0,2,2
1581,racerback bikini,36200.0,8,307
1582,rice chips,27900.0,0,43
1583,backless gown,22400.0,10,56
1584,tulle gown,13160.0,72,730
1585,levis sneakers,18800.0,0,103
1586,bronze bracelet,20400.0,3,1058
1587,tie blouse,17600.0,45,3427
1588,pendant earrings,11600.0,11,1931
1589,smoking flats,19660.0,0,564
1590,rib knit,15200.0,78,28579
1591,neutrals,18400.0,1434,27032
1592,bootcut pants,20100.0,4,1519
1593,goggle glasses,26000.0,1,19
1594,knot dress,21600.0,16,1210
1595,silk sweater,11510.0,6,6516
1596,denim culottes,51200.0,63,140
1597,intarsia sweater,9810.0,5,805
1598,french wallet,13700.0,0,121
1599,taper pants,11180.0,0,21998
1600,velvet tuxedo,16540.0,2,29
1601,quilted shoulder bag,14300.0,5,2041
1602,petite outerwear,11850.0,0,649
1603,petite plus size,23600.0,3,2648
1604,ombre bedding,22700.0,0,149
1605,wrap belt,22700.0,16,276
1606,beaded skirt,13580.0,3,680
1607,hawaiian print,25100.0,19,144
1608,brief panties,17000.0,0,4850
1609,mens stainless steel earrings,8990.0,0,84
1610,contour makeup palette,20280.0,0,469
1611,brass bracelet,17300.0,4,6791
1612,dried apple,19600.0,0,23
1613,dried banana,21400.0,0,10
1614,pleated maxi dress,57800.0,20,1009
1615,chiffon gown,27100.0,47,1421
1616,geometric print,19400.0,42,3720
1617,stacked heel,25600.0,77,22287
1618,lipscrub,12320.0,10,0
1619,comfort heels,24100.0,2,30856
1620,strapless gown,16400.0,87,1337
1621,patchwork boots,12540.0,2,84
1622,shaper leggings,10210.0,3,10
1623,snakeskin pumps,23300.0,4,807
1624,printed yoga pants,20000.0,0,277
1625,animal print sweater,11380.0,0,234
1626,animal print top,25500.0,0,1104
1627,silk jumpsuit,25900.0,20,1181
1628,relaxed fit pants,17000.0,1,2671
1629,prada inside bag,19820.0,0,482
1630,lowlight,17600.0,27,49
1631,womens button down,15660.0,0,12682
1632,petite top,15980.0,1,8037
1633,oval glasses,15500.0,0,2378
1634,drawstring bucket bag,24600.0,4,1778
1635,instadaily,14780.0,1400,0
1636,mismatched earrings,13480.0,14,296
1637,lip brushes,14800.0,2,192
1638,body serum,15880.0,12,406
1639,leopard blouse,24700.0,0,262
1640,silk jacket,28600.0,38,6281
1641,black silk blouse,20700.0,10,2672
1642,mens wayfarer sunglasses,31400.0,0,809
1643,pave bracelet,10920.0,8,4504
1644,pointy toe pumps,27800.0,15,1188
1645,bbma,71100.0,6,0
1646,saffiano tote,10500.0,6,730
1647,cheetah dress,24000.0,0,158
1648,embellished boots,7770.0,3,1136
1649,rashies,12020.0,66,14
1650,mens cotton sweater,5490.0,0,14835
1651,draped skirt,39300.0,16,1330
1652,mens relaxed jeans,8700.0,0,2544
1653,festival fashion,68900.0,577,198
1654,enamel cufflinks,17900.0,3,2516
1655,diamond ear cuff,13880.0,3,172
1656,corduroy coat,12800.0,1,149
1657,sling back,28100.0,21,1868
1658,metallic clutch,17900.0,15,3860
1659,blue corn chips,25900.0,0,0
1660,nato strap watch,13220.0,0,102
1661,mens silver necklaces,10220.0,0,919
1662,lace up jeans,17500.0,3,235
1663,bath bar,16400.0,1,1582
1664,baftas,135200.0,79,1
1665,high rise pants,17600.0,3,3248
1666,gold tone earrings,14780.0,7,9777
1667,leather a-line skirt,10560.0,0,2174
1668,embroidered shirt,24600.0,34,7910
1669,mens faux fur coat,12350.0,0,87
1670,floral gown,25900.0,45,2052
1671,side slit dress,22800.0,11,7189
1672,studded jacket,23200.0,21,1159
1673,pinstripe pants,27300.0,9,700
1674,mens leather necklaces,14800.0,0,235
1675,foldover boots,12160.0,0,169
1676,low tops,21200.0,21,18518
1677,petite shirts,20180.0,0,2764
1678,stud set,16600.0,5,11900
1679,ankle leggings,15700.0,14,736
1680,red sequin,12650.0,5,978
1681,low top sneakers,22300.0,25,2558
1682,mens silk socks,15400.0,0,70
1683,brass necklace,18700.0,8,7401
1684,keyhole top,18900.0,5,7375
1685,halter jumpsuit,38300.0,20,431
1686,toe ring sandals,95400.0,2,610
1687,driving shoe,27400.0,32,1389
1688,studded booties,17780.0,3,240
1689,layered skirt,32400.0,34,1318
1690,lug sole,25100.0,5,1963
1691,carrot chips,37800.0,2,19
1692,lug sole boots,18020.0,0,1963
1693,mens hiking,16600.0,0,1282
1694,mens zip cardigan,11180.0,0,737
1695,mens thermal leggings,12880.0,0,12
1696,boy brow,6990.0,29,13
1697,flatform sneakers,24600.0,1,158
1698,mens crew neck sweater,8560.0,0,4003
1699,formal maternity dress,30800.0,0,1
1700,winter sweater dresses,7390.0,0,51
1701,tall boot,12410.0,5,3864
1702,v neck jumpsuit,19300.0,17,691
1703,printed shorts,46400.0,65,5381
1704,mens capri pants,50000.0,0,55
1705,beaded gown,30800.0,61,2309
1706,mens cotton blazer,29900.0,0,9539
1707,pussy bow dress,12780.0,5,101
1708,knuckle clutch,23100.0,3,87
1709,fringe backpack,30700.0,21,139
1710,jersey t shirt,31800.0,109,24301
1711,mens chambray shirt,23300.0,0,2101
1712,lip hair removal,15700.0,0,98
1713,leather overalls,25800.0,7,27
1714,chukka sneakers,17200.0,4,242
1715,performance tee,23300.0,3,1757
1716,violet dress,28400.0,1,763
1717,petite blazer,24800.0,1,366
1718,suede flats,24200.0,24,7930
1719,jersey leggings,14640.0,16,2567
1720,walking coat,13270.0,0,46
1721,bleached eyebrows,21600.0,0,20
1722,cotton hat,24300.0,8,8110
1723,drape top,29100.0,27,8656
1724,patchwork coat,12310.0,4,56
1725,velvet matte,12150.0,57,263
1726,cutoff shorts,18260.0,96,648
1727,activated charcoal soap,29600.0,0,22
1728,leopard top,30400.0,2,1382
1729,colorblock sweater,12420.0,5,731
1730,jersey top,30400.0,47,45304
1731,driver gloves,55300.0,1,21
1732,petite trousers,38100.0,0,3529
1733,bronzing,28900.0,155,4285
1734,silk shorts,31000.0,19,2786
1735,metallic boots,17060.0,6,4796
1736,smudge proof eyeliner,19600.0,3,256
1737,atelier swarovski,14080.0,23,137
1738,racer jacket,16200.0,2,132
1739,faux leather tote,21400.0,2,1703
1740,buckle ankle boots,17720.0,1,4636
1741,split skirt,43700.0,18,1170
1742,mens passport wallet,13780.0,0,311
1743,mens soccer shoes,34100.0,0,471
1744,metallic sneakers,26400.0,17,3026
1745,two sided earrings,19300.0,0,123
1746,distressed denim,27900.0,331,4009
1747,scoop neck sweater,13000.0,0,1539
1748,faux fur cuffs,7120.0,0,361
1749,polyester dress,28900.0,4,78559
1750,mens baseball jacket,21800.0,0,312
1751,zebra dress,31300.0,8,339
1752,dome ring,17800.0,17,1221
1753,goldenglobes,3890.0,21,0
1754,slim leggings,52400.0,0,1537
1755,ruched skirt,35800.0,8,997
1756,ps1 bag,20800.0,2,596
1757,gold bib necklace,24900.0,1,867
1758,drugstore mascara,17300.0,49,246
1759,cutoffs,28800.0,292,648
1760,womens linen pants,103700.0,0,5159
1761,cigarette jeans,26400.0,2,234
1762,mens round sunglasses,34400.0,0,1611
1763,high low sweater,12070.0,0,1596
1764,foaming face wash,20800.0,1,222
1765,crewneck tee,10860.0,54,11130
1766,minimizing,25400.0,67,13488
1767,mens titanium watch,22000.0,0,1295
1768,nubuck boots,16140.0,0,1527
1769,short sleeve top,19000.0,48,46409
1770,snakeskin booties,11910.0,0,49
1771,houndstooth pants,18060.0,2,666
1772,brass earrings,24100.0,6,6838
1773,color mascara,24100.0,9,667
1774,mens jersey,15480.0,3,44569
1775,nail treatments,24900.0,18,656
1776,leather skinny jeans,21100.0,0,1106
1777,gold cuff links,20000.0,0,445
1778,mens denim joggers,15820.0,0,299
1779,petite wool coat,11230.0,0,227
1780,lace slip,30600.0,33,1668
1781,cream bronzer,29900.0,2,112
1782,round frame,30100.0,26,3906
1783,designer joggers,17000.0,0,113
1784,facial contouring,29100.0,5,554
1785,waxed jeans,23500.0,10,99
1786,petite maternity,23200.0,0,11598
1787,irritated skin,26400.0,29,4331
1788,crystal clutch,32500.0,4,1125
1789,mens diamond bracelets,28400.0,0,1324
1790,mens mesh shorts,39800.0,0,3303
1791,bronze necklace,25400.0,0,1569
1792,v-necks,36900.0,0,54943
1793,cushion compact,24700.0,28,65
1794,butterfly top,47300.0,4,413
1795,graphic shirt,23600.0,35,17744
1796,swing jacket,33100.0,0,146
1797,peasant skirt,68300.0,1,52
1798,pleated leather skirt,23300.0,3,599
1799,pocket shirts,25100.0,2,63763
1800,side bun hairstyle,20720.0,1,7
1801,scarf dress,37300.0,18,1805
1802,wrislet,20000.0,97,16
1803,door knocker earrings,25900.0,0,52
1804,nylon gloves,24600.0,0,336
1805,canvas shopper,36100.0,5,186
1806,fringe earrings,19200.0,32,1007
1807,marble print,19800.0,12,369
1808,bar bracelet,12460.0,17,1527
1809,hair pack,30400.0,11,1345
1810,mens chain wallet,18000.0,0,58
1811,slim fit polo,46700.0,2,1916
1812,white charcoal,23400.0,18,1323
1813,round toe pumps,29600.0,2,3853
1814,animal print leggings,35900.0,2,52
1815,wallet with strap,19400.0,2,1386
1816,wool blend,19500.0,84,13345
1817,mens white gold rings,19300.0,0,868
1818,setting brush,19200.0,3,623
1819,highlighter cream,7440.0,1,769
1820,denim romper,93700.0,29,211
1821,hip belt,36900.0,5,556
1822,low heel sandals,54600.0,10,1542
1823,relaxed jeans,23000.0,7,2544
1824,balloon dress,28100.0,1,250
1825,tuxedo blazer,16040.0,4,155
1826,cotton top,31000.0,96,138560
1827,mens active pants,13170.0,0,350
1828,trumpet skirt,29800.0,5,423
1829,boucle sweater,11980.0,6,439
1830,mother of pearl cufflinks,25400.0,0,1
1831,open ring,21200.0,48,2735
1832,stretch leggings,28500.0,14,2434
1833,pilot glasses,26100.0,0,402
1834,oval sunglasses,34000.0,3,2378
1835,layering necklace,19800.0,10,5713
1836,camel dress,26500.0,3,641
1837,mens track jacket,20100.0,0,801
1838,underwire bikini,84100.0,39,1738
1839,mid heel sandals,54600.0,1,1170
1840,plus size tank top,37900.0,1,1494
1841,mens anorak,25700.0,1,205
1842,womens jogger,12460.0,2,2658
1843,fairisle sweater,10970.0,1,70
1844,cream to powder foundation,27900.0,0,60
1845,crew sweatshirts,16770.0,16,3329
1846,matelasse bedding,41700.0,0,422
1847,wrap sunglasses,39100.0,1,793
1848,mens diver watch,21700.0,0,1977
1849,travel size perfume,24900.0,0,175
1850,scoop neck dress,25100.0,5,6982
1851,silk gown,28600.0,63,2824
1852,cowl back dress,23400.0,5,654
1853,rubber sandals,43800.0,2,26813
1854,polka dot bikini,60900.0,6,201
1855,studded handbag,25900.0,5,10634
1856,mtv vma,297800.0,3,0
1857,low heel,33000.0,37,7206
1858,tartan coat,20420.0,2,526
1859,mens half zip sweater,8770.0,0,903
1860,crocodile bag,31300.0,4,1956
1861,beet chips,48300.0,13,4
1862,parsnip chips,31100.0,0,2
1863,semi rimless glasses,27400.0,0,199
1864,ruffle top,49500.0,140,7428
1865,side swept hair,28400.0,10,80
1866,laser removal,28400.0,56,492
1867,apron dress,30900.0,22,155
1868,beaded wrap bracelet,22700.0,5,734
1869,tribal print leggings,16200.0,0,17
1870,basketweave,22300.0,49,416
1871,mens cotton jacket,21800.0,0,8294
1872,distressed sweater,12960.0,0,478
1873,studded backpack,32100.0,0,485
1874,hand knit,17180.0,13,22466
1875,fitted sweater,11880.0,2,13096
1876,herringbone blazer,22200.0,0,665
1877,leather shopper,24300.0,12,1474
1878,dockers mens pants,18700.0,0,656
1879,key charms,31600.0,0,219
1880,low ponytail,24900.0,40,56
1881,calvin klein ties,20900.0,0,253
1882,mud masks,15600.0,5,202
1883,organza dress,36200.0,55,2104
1884,boat neck top,33000.0,7,894
1885,lace flats,46400.0,152,5085
1886,11 inch laptop bag,19500.0,0,44
1887,mens id bracelets,14100.0,0,1532
1888,mens wool blazer,15230.0,1,8782
1889,accentuating,31100.0,21,5918
1890,hair balm,21400.0,6,314
1891,cream highlighter,23500.0,5,348
1892,large satchel,28600.0,17,890
1893,lentil chips,35400.0,1,1
1894,blanket cardigan,21800.0,0,73
1895,embroidered top,46300.0,125,8538
1896,rebecca dayan,42600.0,4,0
1897,oversized top,51500.0,19,4865
1898,volumizing mascara,22100.0,40,1580
1899,pvc bag,32800.0,0,2571
1900,leopard skirt,36200.0,1,578
1901,continental wallet,18300.0,15,966
1902,lita shoes,29600.0,0,19
1903,lace pumps,37200.0,33,2061
1904,lip lacquer,28900.0,29,336
1905,embroidered coat,26500.0,10,262
1906,yellow lace dress,72900.0,14,411
1907,mens pendant necklaces,11100.0,0,1730
1908,facial peels,32100.0,3,128
1909,mens terry robe,8970.0,0,54
1910,mens cashmere coat,13370.0,0,711
1911,tassel loafer,41400.0,56,995
1912,python boots,20600.0,3,352
1913,faux fur gloves,9130.0,0,70
1914,quilted crossbody bag,23000.0,1,759
1915,calvin klein polo,36700.0,0,351
1916,afro hairstyle,31600.0,8,1
1917,monocles,38300.0,21,15
1918,marled sweater,16630.0,9,1385
1919,ruched top,37600.0,2,2675
1920,cut-out top,36900.0,17,5642
1921,small tote,33300.0,16,2155
1922,ponte dress,37500.0,20,1887
1923,twill shirt,25700.0,12,2551
1924,mens onyx rings,21300.0,0,140
1925,comfort jeans,23000.0,0,4724
1926,mens sterling silver bracelets,23200.0,0,947
1927,womens flare jeans,29000.0,0,4643
1928,tie-front top,28480.0,0,4708
1929,bath loofah,24000.0,0,88
1930,cut out top,36900.0,13,5642
1931,crop sweatshirt,25800.0,18,515
1932,mens jean,23800.0,0,31417
1933,mens moto jeans,22900.0,0,345
1934,short boot,19910.0,6,1607
1935,skinny black jeans,29500.0,25,3789
1936,bandage top,36200.0,0,134
1937,woven bracelet,30800.0,9,1004
1938,glen plaid,26600.0,13,439
1939,pave earrings,21000.0,26,8311
1940,studded flats,52200.0,12,1523
1941,suede belt,23200.0,8,801
1942,brocade dress,30300.0,10,554
1943,pandaboard,47200.0,0,0
1944,filigree necklace,19800.0,10,996
1945,t strap sandals,114100.0,23,4051
1946,cat eye frames,34900.0,8,2134
1947,walking shorts,62800.0,7,601
1948,mens newsboy cap,17360.0,0,66
1949,petite skinny jeans,24500.0,1,1334
1950,stacking ring,25300.0,9,4451
1951,mens sweat shorts,41000.0,0,1152
1952,mens short,49600.0,1,63277
1953,boyfriend shirts,27300.0,3,1299
1954,key charm,26100.0,10,219
1955,healthy smoothie,53600.0,105,12
1956,nyfw,197800.0,1096,10
1957,leather midi skirt,30000.0,2,184
1958,grey watch,21500.0,4,4179
1959,gold lace dress,31700.0,3,761
1960,petite jumpsuits,48200.0,0,477
1961,velvet romper,9460.0,1,15
1962,straight fit jeans,28800.0,2,5611
1963,faded jeans,30100.0,13,16953
1964,sleepshirts,21900.0,7,1156
1965,chinese beauty,34700.0,6,348
1966,linen jacket,78500.0,44,3345
1967,studded bag,33500.0,17,10634
1968,cap toe,35000.0,83,1656
1969,short coat,26280.0,5,768
1970,dryness,37600.0,132,54
1971,mens knit gloves,9220.0,0,292
1972,jersey skirt,56600.0,15,5006
1973,liquid eyeshadow,27100.0,3,34
1974,peopleschoice,44400.0,1,0
1975,rabbit scarf,15700.0,0,220
1976,mens spinner rings,23200.0,0,79
1977,boat neck dress,47000.0,13,1055
1978,peeling lips,29600.0,1,65
1979,floral jumpsuit,96900.0,48,341
1980,rose gold cufflinks,26600.0,5,67
1981,woven bag,44400.0,13,7251
1982,fur booties,11910.0,0,229
1983,mens toiletry kit,13120.0,0,100
1984,plaid top,22560.0,16,9287
1985,slit skirt,42000.0,46,5563
1986,woven belt,31500.0,2,302
1987,sheer panel,42300.0,25,678
1988,floral pants,83400.0,48,3245
1989,asymmetrical coat,15540.0,0,648
1990,quilted backpack,45700.0,9,254
1991,bronze earrings,29100.0,2,817
1992,maternity t shirt,39100.0,71,268
1993,floral tie,51800.0,39,5268
1994,levis jean,36700.0,1,569
1995,metal watch,30300.0,4,11356
1996,high low top,31800.0,5,7216
1997,beauty balm,24900.0,24,4567
1998,scoop neck tee,42900.0,14,2431
1999,metallic jeans,18200.0,0,4777
2000,flat hair,32100.0,9,1378
2001,high waist trousers,40900.0,18,15928
2002,jeweled sandals,107500.0,8,1564
2003,shortalls,119800.0,16,1283
2004,metallic pumps,31700.0,7,4075
2005,spread collar,35400.0,28,16005
2006,oval ring,27600.0,39,4037
2007,linda fargo,34500.0,4,0
2008,puffiness,33700.0,59,91
2009,natural foundation,30100.0,15,1751
2010,lace booties,29400.0,37,896
2011,lip enhancement,49600.0,2,685
2012,dark wash jeans,29500.0,15,16083
2013,bow dress,43400.0,32,4478
2014,wing tip,40800.0,11,423
2015,high waisted thong,28100.0,0,149
2016,leather chain wallet,24600.0,0,597
2017,cardigan coat,28960.0,0,189
2018,beaded clutch,38200.0,6,959
2019,oversized glasses,32600.0,4,3064
2020,petite blouses,38800.0,6,1058
2021,lfw,83200.0,948,3
2022,printed jeans,45400.0,7,1369
2023,bridesmaid gown,47000.0,19,298
2024,mens pullover sweater,11260.0,0,2762
2025,satin pajama,15220.0,1,520
2026,fur bag charm,16480.0,0,38
2027,full figure bra,32500.0,2,643
2028,alligator skin,34400.0,3,22
2029,mens baseball cap,33000.0,0,2346
2030,top handle bag,18680.0,64,29030
2031,satin gown,31500.0,33,866
2032,halo stud earrings,11990.0,0,1597
2033,suede sneakers,28300.0,31,6256
2034,wood bracelet,36900.0,4,518
2035,sneaker boot,24200.0,7,324
2036,shield sunglasses,46700.0,2,631
2037,short leggings,80300.0,0,61
2038,mens chino shorts,81100.0,0,3183
2039,grey lace dress,42100.0,1,604
2040,dried cranberry,31300.0,1,26
2041,suiting,48500.0,282,14201
2042,eyelashes curler,26800.0,2,207
2043,open front sweater,16810.0,11,6810
2044,bobs by skechers,45500.0,0,388
2045,mens cotton robe,13340.0,0,185
2046,cc cushion,31100.0,17,14
2047,feather extensions,62500.0,2,20
2048,velvet gown,18780.0,4,101
2049,organizer wallet,29600.0,1,129
2050,black oxford shoes,37200.0,0,3700
2051,long leggings,22100.0,4,267
2052,top bun,42300.0,19,81
2053,faux leather top,23000.0,3,2369
2054,batata chips,41600.0,0,0
2055,handbag charm,23100.0,1,3659
2056,fit and flare skirt,30100.0,1,817
2057,metallic eyeshadow,25600.0,25,183
2058,embroidered jeans,33700.0,23,2179
2059,peep toe flats,112500.0,3,320
2060,makeup applicators,29300.0,9,9033
2061,fur trim coat,19430.0,0,944
2062,printed dress,37500.0,364,42116
2063,mens sapphire rings,22900.0,0,145
2064,knit vest,24700.0,11,540
2065,independent spirit awards,53300.0,3,2
2066,metal bracelet,23300.0,8,16017
2067,starburst bracelet,44600.0,0,66
2068,distressed boots,25400.0,7,2044
2069,radiant orchid,120100.0,25,13
2070,softball shoes,54900.0,0,45
2071,cotton blazer,45900.0,21,8495
2072,striped tie,30100.0,42,2692
2073,sleeveless turtleneck sweater,16750.0,2,383
2074,ankle length leggings,36300.0,4,271
2075,mens slim fit pants,30000.0,0,9911
2076,mens running shirts,25200.0,0,1566
2077,a-line mini skirt,21700.0,0,7610
2078,women in film,41400.0,20,1224
2079,athletic sandals,79100.0,9,181
2080,zip pouch,35500.0,45,5549
2081,twill jacket,29200.0,33,1907
2082,mousse foundation,42800.0,1,57
2083,steel watch,33000.0,14,31486
2084,mid rise jeans,41500.0,26,22324
2085,shearling gloves,15580.0,0,77
2086,mens ear warmers,12360.0,0,10
2087,plaid tie,28300.0,15,1014
2088,mens bracelet watch,20400.0,0,17502
2089,vegetable chips,65900.0,3,34
2090,shrug sweater,50600.0,2,1108
2091,trash and vaudeville,52000.0,1,0
2092,mens bucket hat,103000.0,0,810
2093,ceramic brush,30800.0,1,347
2094,dried pineapple,55400.0,1,15
2095,linen shorts,124800.0,22,1827
2096,skin firming cream,34200.0,0,2654
2097,ballerina bun,45400.0,5,12
2098,tassel bag,66100.0,66,5264
2099,mens hawaiian shirt,46000.0,0,348
2100,day dress,58000.0,116,122624
2101,sweater cape,22090.0,0,406
2102,mens car coat,22480.0,0,172
2103,leopard sweater,24210.0,4,431
2104,maternity cocktail dress,37100.0,2,545
2105,strapless bikini,95000.0,5,255
2106,mask pack,44300.0,3,209
2107,diamond cufflinks,35500.0,2,155
2108,nautical bracelet,38300.0,4,158
2109,mens double breasted coat,19760.0,0,1137
2110,evening jacket,49400.0,4,1992
2111,cut out booties,49300.0,4,459
2112,mini satchel,40600.0,44,1609
2113,mens reversible belt,19700.0,0,1651
2114,crew neck t shirt,51100.0,14,9893
2115,asymmetrical jacket,31680.0,0,2726
2116,cowlneck sweater,11830.0,0,132
2117,white suits,63500.0,4,1909
2118,sequins top,15020.0,17,4630
2119,tortoise watch,38000.0,1,238
2120,stockholm street style,66400.0,4,1
2121,patchwork jeans,42000.0,14,190
2122,headpieces,80900.0,439,73
2123,mens silk robe,28600.0,0,26
2124,blue dial watch,38000.0,3,3484
2125,gift set for him,11000.0,0,13
2126,floral romper,124900.0,129,746
2127,aqua dress,89500.0,7,1201
2128,ear pin,46900.0,1,454
2129,merino wool gloves,18530.0,0,54
2130,satin top,39700.0,17,5919
2131,printed t shirt,46200.0,16,23324
2132,swim briefs,61900.0,1,1361
2133,flip mittens,10910.0,0,30
2134,dewy foundation,43600.0,11,25
2135,two finger ring,45300.0,5,662
2136,ivory lace dress,72500.0,10,2038
2137,milan fashion week,111900.0,216,12
2138,ear wrap,43000.0,3,106
2139,matelasse bedspread,61200.0,0,24
2140,leather wrap watch,25300.0,1,734
2141,print dress,64600.0,504,42116
2142,tribal leggings,39100.0,1,28
2143,surplice top,41300.0,9,1313
2144,beach wave hair,40000.0,2,152
2145,frown lines,47400.0,3,43
2146,dewy skin,42800.0,122,493
2147,distressed boyfriend jeans,61000.0,35,789
2148,martha stewart quilts,57800.0,0,243
2149,printed pants,75900.0,50,8587
2150,ribbed sweater,21260.0,26,18492
2151,neutral eyeshadow palette,43000.0,7,160
2152,baked chips,61000.0,33,83
2153,mens cuff bracelets,23500.0,0,293
2154,unisex watch,42300.0,0,2938
2155,spandex dress,41300.0,0,29158
2156,floral blazer,110000.0,22,615
2157,floral jacket,67500.0,48,2043
2158,secret sale,42900.0,13,4272
2159,plaid shorts,86300.0,4,650
2160,wedding underwear,89600.0,0,4
2161,wrap ring,25000.0,7,1722
2162,interactive book,30000.0,3,92
2163,regular fit jeans,30600.0,0,3699
2164,suede mini skirt,31100.0,6,371
2165,drape cardigan,30400.0,3,1851
2166,mens saddle shoes,40600.0,0,904
2167,sweatshorts,76700.0,170,162
2168,luminous silk foundation,38400.0,4,20
2169,pencil pants,43500.0,3,92
2170,nylon crossbody bag,53800.0,0,776
2171,poncho top,33000.0,10,792
2172,comfort sandals,167000.0,6,14933
2173,mod dress,55100.0,11,481
2174,pfw,67500.0,1045,0
2175,fur mittens,20820.0,0,47
2176,merino wool scarf,15130.0,1,190
2177,acrylic sweater,15940.0,0,8199
2178,skinny belt,56400.0,9,9877
2179,chloe susanna,20980.0,0,40
